,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Eastern Whip-poor-will,115490.0,42.0,99.96364643561957,0.0,2.0,0.00038084687548689544,0.0
Eastern Wood-Pewee,115318.0,214.0,99.81476993387113,0.0,40.0,0.007011044770479202,0.0
Elegant Tern,115507.0,25.0,99.97836097358308,0.0,1.0,0.0002163902681786567,0.0
Eurasian Collared-Dove,114902.0,630.0,99.45469653429353,0.0,13.0,0.0096596609801054,0.0
European Herring Gull,115357.0,175.0,99.84852681508154,0.0,4.0,0.0018523007165640593,0.0
European Starling,115506.0,26.0,99.9774954125264,0.0,2.0,0.0002769795246422291,0.0
Evening Grosbeak,101868.0,13664.0,88.17297372156632,0.0,100.0,0.29309627413749695,0.0
Field Sparrow,115484.0,48.0,99.9584530692795,0.0,1.0,0.0004154693160671741,0.0
Fish Crow,115238.0,294.0,99.74552504933698,0.0,6.0,0.003453588578850031,0.0
Fork-tailed Flycatcher,114951.0,581.0,99.49710902607069,0.0,14.0,0.007357269059866667,0.0
Forster's Tern,115355.0,177.0,99.84679569296819,0.0,10.0,0.0036526676267385483,0.0
Fox Sparrow,115378.0,154.0,99.86670359727175,0.0,4.0,0.001402208930812776,0.0
Franklin's Gull,89497.0,26035.0,77.46511788941592,0.0,200.0,0.5396600365638733,0.0
Fulvous Whistling-Duck,104517.0,11015.0,90.46584496070352,0.0,16.0,0.17343246936798096,0.0
Gadwall,92026.0,23506.0,79.6541218017519,0.0,278.0,0.6161583065986633,0.0
Glaucous Gull,113738.0,1794.0,98.44718346432157,0.0,5.0,0.022469965741038322,0.0
Glossy Ibis,115521.0,11.0,99.99047882837655,0.0,3.0,0.00018176782759837806,0.0
Golden Eagle,115240.0,292.0,99.74725617145033,0.0,60.0,0.012213066220283508,0.0
Golden Pheasant,115482.0,50.0,99.95672194716614,0.0,152.0,0.004085448104888201,0.0
Golden-crowned Kinglet,113641.0,1891.0,98.36322404182391,0.0,60.0,0.05272132530808449,0.0
Golden-winged Warbler,109610.0,5922.0,94.87414742235917,0.0,54.0,0.08747360110282898,0.0
Grasshopper Sparrow,115138.0,394.0,99.6589689436693,0.0,5000.0,0.30755114555358887,0.0
Gray Catbird,115475.0,57.0,99.95066301976941,0.0,4.0,0.000614548334851861,0.0
Gray Flycatcher,114097.0,1435.0,98.75791988366859,0.0,80.0,0.04457639530301094,0.0
Gray Kingbird,115004.0,528.0,99.54298376207458,0.0,4.0,0.005331856198608875,0.0
Gray-cheeked Thrush,115518.0,14.0,99.98788214520651,0.0,1.0,0.00012117854930693284,0.0
Graylag Goose,115521.0,11.0,99.99047882837655,0.0,11.0,0.00039815809577703476,0.0
Great Black-backed Gull,115447.0,85.0,99.92642731018246,0.0,16.0,0.001843645004555583,0.0
Great Blue Heron,113372.0,2160.0,98.13038811757781,0.0,8.0,0.024235710501670837,0.0
Great Cormorant,114287.0,1245.0,98.92237648443721,0.0,100.0,0.062017448246479034,0.0
Great Crested Flycatcher,111701.0,3831.0,96.68403559187065,0.0,65.0,0.08632240444421768,0.0
Great Egret,114448.0,1084.0,99.06173181456221,0.0,500.0,0.054227400571107864,0.0
Great Horned Owl,115509.0,23.0,99.98009209569642,0.0,14.0,0.0006837932160124183,0.0
Great Kiskadee,90019.0,25513.0,77.91694076100129,0.0,100.0,0.6990790367126465,0.0
Great Shearwater,99164.0,16368.0,85.83249662431189,0.0,132.0,0.8505609035491943,0.0
Great-tailed Grackle,115521.0,11.0,99.99047882837655,0.0,1.0,9.521171887172386e-05,0.0
Greater Scaup,113708.0,1824.0,98.42121663262127,0.0,14.0,0.03786829486489296,0.0
Greater White-fronted Goose,115505.0,27.0,99.97662985146972,0.0,4.0,0.0002769795246422291,0.0
Greater Yellowlegs,109126.0,6406.0,94.45521587092753,0.0,2000.0,0.3169771134853363,0.0
Green Heron,114686.0,846.0,99.26773534605131,0.0,28.0,0.01308728288859129,0.0
Green-winged Teal,104457.0,11075.0,90.4139112973029,0.0,223.0,0.4016203284263611,0.0
Groove-billed Ani,114988.0,544.0,99.52913478516776,0.0,16.0,0.01108783669769764,0.0
Gull-billed Tern,115443.0,89.0,99.92296506595575,0.0,3.0,0.000848249823320657,0.0
Hairy Woodpecker,83916.0,31616.0,72.63442163210193,0.0,10200.0,9.14333724975586,0.0
Harris's Sparrow,115514.0,18.0,99.98441990097982,0.0,7.0,0.0002163902681786567,0.0
Helmeted Guineafowl,115336.0,196.0,99.83035003289132,0.0,4.0,0.0019128898857161403,0.0
Henslow's Sparrow,113137.0,2395.0,97.92698126925873,0.0,1000.0,0.37570542097091675,0.0
Hermit Thrush,111087.0,4445.0,96.15258110307101,0.0,600.0,0.5378163456916809,0.0
Hooded Merganser,115270.0,262.0,99.77322300315065,0.0,18.0,0.003687290009111166,0.0
Hooded Oriole,115484.0,48.0,99.9584530692795,0.0,1.0,0.0004154693160671741,0.0
Hooded Warbler,113475.0,2057.0,98.21954090641553,0.0,8000.0,0.7983415722846985,0.0
Horned Grebe,114098.0,1434.0,98.75878544472528,0.0,450.0,0.08282553404569626,0.0
Horned Lark,115246.0,286.0,99.7524495377904,0.0,9.0,0.005219333339482546,0.0
House Finch,115490.0,42.0,99.96364643561957,0.0,2.0,0.00038084687548689544,0.0
House Sparrow,107477.0,8055.0,93.02790568846726,0.0,635.0,0.200498566031456,0.0
Hudsonian Godwit,109046.0,6486.0,94.38597098639337,0.0,11.0,0.07505279779434204,0.0
Iceland Gull,115521.0,11.0,99.99047882837655,0.0,12.0,0.00020773465803358704,0.0
Inca Dove,115204.0,328.0,99.71609597340996,0.0,550.0,0.05306755006313324,0.0
Indian Peafowl,115499.0,33.0,99.97143648512966,0.0,3.0,0.00031160199432633817,0.0
Indigo Bunting,115016.0,516.0,99.5533704947547,0.0,6.0,0.005721358582377434,0.0
Kentucky Warbler,115522.0,10.0,99.99134438943324,0.0,1.0,8.65561087266542e-05,0.0
Killdeer,114548.0,984.0,99.14828792022989,0.0,329.0,0.059818923473358154,0.0
King Rail,113797.0,1735.0,98.49825156666552,0.0,55.0,0.031125575304031372,0.0
Lapland Longspur,109684.0,5848.0,94.93819894055326,0.0,200.0,0.4132707715034485,0.0
Lark Sparrow,114840.0,692.0,99.40103174877956,0.0,35.0,0.024962780997157097,0.0
Laughing Gull,113144.0,2388.0,97.93304019665547,0.0,70.0,0.05105078965425491,0.0
LeConte's Sparrow,114750.0,782.0,99.32313125367862,0.0,8.0,0.007106256205588579,0.0
Least Flycatcher,110870.0,4662.0,95.96475435377212,0.0,130.0,0.08479901403188705,0.0
Least Sandpiper,114764.0,768.0,99.33524910847211,0.0,70.0,0.03592078387737274,0.0
Least Tern,113811.0,1721.0,98.51036942145899,0.0,102.0,0.06130769103765488,0.0
Lesser Black-backed Gull,66099.0,49433.0,57.212720285288924,0.0,310.0,1.6175345182418823,0.0
Lesser Goldfinch,112946.0,2586.0,97.76165910743345,0.0,94.0,0.13735587894916534,0.0
Lesser Scaup,115381.0,151.0,99.86930028044179,0.0,4.0,0.001549354288727045,0.0
Lesser Yellowlegs,115449.0,83.0,99.92815843229582,0.0,2.0,0.0007876605377532542,0.0
Limpkin,115335.0,197.0,99.82948447183463,0.0,30.0,0.0044403281062841415,0.0
Lincoln's Sparrow,115339.0,193.0,99.83294671606136,0.0,62.0,0.007322646677494049,0.0
Little Blue Heron,114533.0,999.0,99.13530450437975,0.0,16.0,0.018860574811697006,0.0
Loggerhead Shrike,52718.0,62814.0,45.630647785894816,0.0,70.0,2.2325503826141357,1.0
Long-billed Curlew,110308.0,5224.0,95.47830903991968,0.0,17.0,0.05833881348371506,0.0
Long-billed Dowitcher,114750.0,782.0,99.32313125367862,0.0,500.0,0.07519128918647766,0.0
Long-tailed Duck,112998.0,2534.0,97.80666828238064,0.0,39.0,0.028468303382396698,0.0
Louisiana Waterthrush,110598.0,4934.0,95.72932174635599,0.0,23.0,0.07094138115644455,0.0
MacGillivray's Warbler,61884.0,53648.0,53.564380431395634,0.0,52.0,1.1043606996536255,0.0
Magnificent Frigatebird,110094.0,5438.0,95.29307897379081,0.0,30.0,0.10964927822351456,0.0
Magnolia Warbler,115428.0,104.0,99.90998165010559,0.0,160.0,0.006863899063318968,0.0
Mallard,113618.0,1914.0,98.34331613752035,0.0,800.0,0.06090953201055527,0.0
Marbled Godwit,114794.0,738.0,99.36121594017241,0.0,1000.0,0.11570820212364197,0.0
Marsh Wren,114327.0,1205.0,98.95699892670429,0.0,25.0,0.01665339432656765,0.0
Masked Booby,115458.0,74.0,99.93594848180591,0.0,2.0,0.000657826429232955,0.0
Merlin,107712.0,7820.0,93.23131253678635,0.0,35.0,0.1182529479265213,0.0
Mississippi Kite,111995.0,3537.0,96.93851054253368,0.0,130.0,0.08957691490650177,0.0
Monk Parakeet,95136.0,20396.0,82.34601668801717,0.0,39.0,0.30346569418907166,0.0
Mottled Duck,114527.0,1005.0,99.13011113803968,0.0,21.0,0.013156527653336525,0.0
Mourning Dove,115520.0,12.0,99.98961326731988,0.0,1.0,0.00010386732901679352,0.0
Mourning Warbler,113315.0,2217.0,98.08105113734723,0.0,20.0,0.037132568657398224,0.0
Muscovy Duck,109884.0,5648.0,95.11131115188866,0.0,75.0,0.1386282593011856,0.0
Mute Swan,115521.0,11.0,99.99047882837655,0.0,1.0,9.521171887172386e-05,0.0
