,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Summer Tanager,111173.0,4359.0,96.22701935394524,0.0,57.0,0.18284977972507477,0.0
Surf Scoter,115447.0,85.0,99.92642731018246,0.0,120.0,0.004327805247157812,0.0
Swainson's Hawk,112945.0,2587.0,97.76079354637676,0.0,42.0,0.048938822001218796,0.0
Swainson's Thrush,114545.0,987.0,99.14569123705986,0.0,14.0,0.013597964309155941,0.0
Swainson's Warbler,112779.0,2753.0,97.6171104109684,0.0,453.0,0.0907367691397667,0.0
Swallow-tailed Kite,115515.0,17.0,99.98528546203649,0.0,3.0,0.00018176782759837806,0.0
Swamp Sparrow,111164.0,4368.0,96.21922930443515,0.0,16.0,0.04544195532798767,0.0
Swan Goose,112159.0,3373.0,97.08046255582869,0.0,140.0,0.05073053389787674,0.0
Tennessee Warbler,114724.0,808.0,99.30062666620503,0.0,24.0,0.012273656204342842,0.0
Townsend's Warbler,113073.0,2459.0,97.8715853616314,0.0,85.0,0.04053422436118126,0.0
Tree Swallow,115430.0,102.0,99.91171277221895,0.0,100.0,0.0021985250059515238,0.0
Tricolored Heron,92264.0,23268.0,79.860125333241,0.0,3500.0,1.5630820989608765,0.0
Tricolored Munia,112665.0,2867.0,97.51843645050722,0.0,125.0,0.04422151297330856,0.0
Tropical Kingbird,113302.0,2230.0,98.06979884361043,0.0,8.0,0.025430183857679367,0.0
