Class,Label,RMSE,MAE,NRMSE (by avg),NRMSE (by max),Normalized RMSE (0-1),Avg Count,Max Count,Non-Zero Rate
0,Acadian Flycatcher,0.3330158333357787,0.08193410933017731,22.198066655022917,0.025616602564290672,0.02561660418445455,0.01500202,13.0,0.00753903680365613
1,Alder Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001298341585015407
2,Allen's Hummingbird,0.033110443658536104,0.0010963014792650938,30.201951091712203,0.033110443658536104,0.033110443658536104,0.0010963015,1.0,0.0009088391095107849
3,American Avocet,6.157652099812413,0.5828861594200134,38.14091010352654,0.012315304199624826,0.012315303923789241,0.16144481,500.0,0.005279922445729322
4,American Bittern,0.07206251947401864,0.0021926029585301876,32.86619640535639,0.014412503894803728,0.014412504823702805,0.002192603,5.0,0.0013329640272824845
5,American Coot,20.204479151495175,3.957763433456421,17.95251557149794,0.01616358332119614,0.016163584909763114,1.12544,1250.0,0.03277014160578887
6,American Crow,4.37445152114409,2.985574960708618,4.22524782015094,0.02822226787834897,0.02822226887902386,1.0353124,155.0,0.23307828134196587
7,American Golden-Plover,0.040194552583990385,0.0012694016331806779,31.664172735682442,0.020097276291995193,0.020097276291995193,0.0012694016,2.0,0.0008915278883772461
8,American Goldfinch,4.896617399157846,3.2688822746276855,7.516676610173237,0.04046791238973427,0.04046791240338995,0.6514338,121.0,0.080955925630994
9,American Kestrel,0.9943873430944989,0.9740349650382996,17.803437118646414,0.14205533472778556,0.1420553303124832,0.055853672,7.0,0.039201260256898525
10,American Oystercatcher,0.5298215510792351,0.247129425406456,35.590454250186845,0.03532143673861567,0.035321437002286314,0.0148866195,15.0,0.006032960565038258
11,American Pipit,1.52695852431433,0.13530667126178741,41.092731705751106,0.010179723495428866,0.010179723895180605,0.037158847,150.0,0.0031766090780043625
12,American Redstart,0.9321200179030454,0.745369553565979,18.82817256085268,0.04660600089515227,0.04660600229395453,0.049506664,20.0,0.02374233978464841
13,American Robin,22.17635269597966,4.452657222747803,13.8186595620248,0.011714924826191051,0.01171492474430345,1.6048121,1893.0,0.08546549873628086
14,American White Pelican,10.02616739301581,2.7999539375305176,15.50490897829283,0.0174368128574188,0.017436813874444346,0.6466447,575.0,0.0262611224595783
15,American Wigeon,0.08321063003361462,0.0018464024178683758,45.06635673152939,0.01386843833893577,0.013868438805283718,0.0018464024,6.0,0.0007876605615760136
16,American Woodcock,0.0075960565794619215,5.770007555838674e-05,131.6472553276896,0.0075960565794619215,0.0075960565794619215,5.7700076e-05,1.0,0.00037219125437108335
17,Anhinga,2.2357712231327964,1.9754197597503662,12.754492947359559,0.022357712231327966,0.02235770994235593,0.17529283,100.0,0.0667434130803587
18,Ash-throated Flycatcher,0.04620500912693218,0.0017887023277580738,25.831581034975606,0.02310250456346609,0.02310250456346609,0.0017887023,2.0,0.0017397777239206453
19,Bachman's Sparrow,0.12823619233595165,0.006289307959377766,20.38955528401868,0.02564723846719033,0.025647239828919616,0.006289308,5.0,0.003280476404805595
20,Baird's Sandpiper,0.04429224083390882,0.001154001452960074,38.381442865862006,0.014764080277969606,0.014764080442241213,0.0011540015,3.0,0.00041546930720493024
21,Bald Eagle,1.7979241666788417,1.7117881774902344,17.5944792082649,0.08989620833394209,0.08989620750514399,0.10218684,20.0,0.06715888238756362
22,Baltimore Oriole,0.98438562659931,0.7089031338691711,15.870127613497349,0.05790503685878294,0.05790503577355602,0.06202758,17.0,0.01854897344458678
23,Bank Swallow,0.6309758365239388,0.011655415408313274,54.135851397788244,0.007887197956549236,0.007887198177949764,0.011655415,80.0,0.0030900529723366685
24,Barn Swallow,5.950345569480838,3.1992383003234863,9.458446496547957,0.019834485231602795,0.019834485325903508,0.6291039,300.0,0.09187930616625697
25,Barred Owl,0.8285971321326109,0.6826496124267578,35.28358016061431,0.13809952202210182,0.13809952352073532,0.02348393,6.0,0.015484887303950421
26,Bay-breasted Warbler,0.24116731936567026,0.01003981288522482,24.021097018709014,0.013398184409203904,0.013398184556700455,0.010039813,18.0,0.004691340927189004
27,Bell's Vireo,0.010742446235228431,0.00011540015111677349,93.08866696680616,0.010742446235228431,0.010742446235228431,0.00011540015,1.0,0.00022504587473600387
28,Belted Kingfisher,0.9663724642054079,0.9261438846588135,9.182128035481561,0.19327449284108159,0.1932744986234642,0.105244935,5.0,0.08709275352283351
29,Black Scoter,0.8131329198711074,0.06895159184932709,33.47365018600773,0.015058017034650137,0.015058017720004807,0.024291731,54.0,0.0021033133677249593
30,Black Skimmer,19.148710823987685,3.175119638442993,13.174003150470927,0.019148710823987683,0.01914871106449422,1.4535226,1000.0,0.02705743863172108
31,Black Swan,0.02738797175423808,0.000403900514356792,67.80870729479804,0.01369398587711904,0.01369398587711904,0.0004039005,2.0,0.00011252293736800194
32,Black Tern,31.652336759918395,1.1635220050811768,65.75960714559892,0.007913084189979599,0.007913084007112535,0.48133403,4000.0,0.008820067167537998
33,Black Vulture,2.806421620445963,2.18942928314209,10.298135754568799,0.037418954939279506,0.03741895640386232,0.27251744,75.0,0.055785410102828656
34,Black-and-white Warbler,0.9386279632037954,0.7708153128623962,17.66271579742933,0.04469656967637121,0.04469656938106854,0.05314177,21.0,0.02944638714814943
35,Black-bellied Plover,1.9345651363667502,1.081530213356018,15.536583934340046,0.01915411026105693,0.019154109693402054,0.12451676,101.0,0.03244988401481841
36,Black-bellied Whistling-Duck,18.63940855471362,4.01413631439209,15.902312416268488,0.01863940855471362,0.018639408739385157,1.1721194,1000.0,0.06079700862098812
37,Black-billed Cuckoo,0.035628663084385837,0.001154001452960074,30.874019259678104,0.017814331542192918,0.017814331542192918,0.0011540015,2.0,0.0010819513208461726
38,Black-chinned Hummingbird,0.0869408416212105,0.005366106983274221,16.20184649545732,0.0289802805404035,0.028980280986742716,0.005366107,3.0,0.005253955614029014
39,Black-crowned Night Heron,0.9837406475974929,0.6153135895729065,29.96346225248974,0.01513447150149989,0.015134471872676105,0.03283134,65.0,0.013701831527195929
40,Black-headed Grosbeak,0.016985298444243437,0.0002885003632400185,58.87444387760608,0.016985298444243437,0.016985298444243437,0.00028850036,1.0,0.00045009174947200774
