,t_mean,water,shore,urban,salt_marsh,salt_woody_wetland,longitude,northness_median,elevation_sd,poc_mean,fresh_marsh,pasture,trange_mean,shrub,chl_mean,eastness_sd,forest,grassland,latitude,fresh_woody_wetland,elevation_median,agriculture,slopeness_sd,northness_sd,slopeness_median,barren,eastness_median
Pine Warbler,0.2562394173988428,0.0041695683405424,0.026825203031675356,-0.001834034914919782,0.01798854098335273,0.04839176036653037,-0.30312493296516707,-0.0360826896667289,-0.4373464820062268,0.0858061434995567,0.05168937633586568,0.11481565420350892,0.22614122348837828,0.12900996955906932,0.16251503453309754,0.05436891560178998,0.0605429830009898,0.03678118057571848,-0.10822543745306692,0.004406012841455236,0.05154009613256595,-0.04836300247332079,-0.029855747538494418,-0.01641204912299376,-0.03441240609228994,0.11981532032058474,0.019560953860673438
Wood Duck,0.14476409395776726,0.014644544473124391,0.037979342509221484,-0.025440515560104696,0.03501213765737352,0.04989968624060726,-0.1347162714765537,-0.020505005839214257,-0.2503613092270683,0.04474964745015752,0.014513618308025262,0.013807862461200903,0.10486154319336834,0.029186142204386388,0.03949539024673573,0.027238190842198032,0.017944341939988104,-0.02295258995332713,-0.06515332639223606,-0.012533094864465605,0.015511342001887016,-0.05458813708147671,-0.038418259804273845,-0.035608870265123035,-0.04113351868425358,0.026098095139024932,0.0066324209752134594
Chimney Swift,0.30471261475505246,0.05320712852486113,0.07676773724563957,0.008924631182845501,0.08319251345158546,0.09846633017198471,-0.2782299876153955,-0.024563936007649508,-0.41468469882655734,0.09559952450219042,0.051649679166177055,0.061273156414632615,0.1634288030752582,0.03576877538872834,0.07931597027861005,-0.013445453773695425,-0.03980099340628936,-0.054052001616871424,-0.1652487858806526,-0.057105283270795906,0.00577105850188161,-0.0994063568763911,-0.09825996386805794,-0.09930607755720648,-0.1294652048070941,0.07925859706783327,0.01973292430198151
Gray Catbird,0.32185628042320685,0.055534566792804926,0.08317537207256333,0.016968795216963796,0.08544201859433205,0.10276442580987731,-0.30433275235945684,-0.02854589405165677,-0.45264411481243827,0.10487301603153083,0.051103916568164404,0.07185313168403024,0.16892396228238032,0.053650921903341066,0.10465891503732862,-0.005047248560200238,-0.0238699902508041,-0.03788855617341007,-0.171471079205123,-0.05742178467448866,0.006672787347067831,-0.11026892253761417,-0.08656342158395838,-0.07997313907614727,-0.12183439909218856,0.09930467895278582,0.018692238680905193
Great Crested Flycatcher,0.28156752835157073,0.02748715637485086,0.06262747320735514,0.022552145477502488,0.07602498720498671,0.09560664854451265,-0.2743838766815158,-0.022756698139700174,-0.4068948692898977,0.08702145631638211,0.03578006912571707,0.09014094115660587,0.17758811429493826,0.06661793330624123,0.11919387627031597,0.006068746771691549,-0.0002456846873016026,-0.01779070873842638,-0.14391540278997855,-0.043512415795166834,0.019040601652845,-0.07436245248717292,-0.07305052654817171,-0.0652987699702481,-0.09594002426704976,0.09771489061663909,0.017293750245133962
White-eyed Vireo,0.293548930072024,0.03498376030590668,0.06971930820350992,0.02295210376744658,0.07939678227679008,0.09880287592130761,-0.280757390163335,-0.023524090035037967,-0.4153867496340675,0.09639875050610551,0.03914159256024387,0.08738740209796904,0.18178157268989087,0.05924920602861209,0.11105747088469901,-0.006725779062832121,-0.010490995533601501,-0.024407382525246,-0.15017592335493796,-0.0509716318442855,0.021412773280783618,-0.0769095216474972,-0.07372857983350356,-0.06847910285662498,-0.10722954845192817,0.10133444582340484,0.0050236595265401125
Eastern Phoebe,0.3192883063622492,0.052372672992193135,0.06932232659148088,-0.005822297840399749,0.050760661080894255,0.07112190834000669,-0.3068083487948096,-0.029309305864647278,-0.47195681746613827,0.09690475222291871,0.05648601249814423,0.07567389208834129,0.19638525615389354,0.07633670630789674,0.11093020869217775,0.0029188953484299814,-0.010377378461101518,-0.024695939204436104,-0.16540847893634517,-0.020826328454731244,0.020010717166110595,-0.08846604849720732,-0.06933869614841338,-0.06923897136692295,-0.10483233242976725,0.09881755561642361,0.020453072478109006
Blue-gray Gnatcatcher,0.332241944485707,0.05625448319162045,0.08123623737793825,0.0007366864871226191,0.05738724515855067,0.07554312340545442,-0.3139149031066078,-0.02922498532330663,-0.4798922882541041,0.10283077875121228,0.05022998315088066,0.07693125338152206,0.1824851615209046,0.06361291381379686,0.11007025213963417,0.0007552269465687657,-0.021567654186748532,-0.034837777608704774,-0.1768062155909716,-0.020105816311677002,0.004972221580935293,-0.10528435109776897,-0.08155998989892056,-0.07818611837206516,-0.11876137644981082,0.10135931480348925,0.012706437637333942
Ruby-crowned Kinglet,0.3289463684462375,0.047688343917997526,0.07184363908529996,0.007432893066268316,0.06644274335205534,0.0869252025287983,-0.31193653047636355,-0.03105518544696512,-0.46121757356269694,0.1019188287349209,0.0521638882223405,0.08034108835521954,0.18610858455000828,0.06550882879288351,0.11016885640972064,-0.00922747279041211,-0.022104248479300908,-0.03542768839143389,-0.17308183911984404,-0.038158265734707784,0.010615293664791048,-0.09522123501890915,-0.08520295322530409,-0.08969269423691967,-0.12385925951447567,0.10238494021839574,0.012884889087079056
Canada Goose,0.29382821338948323,0.00563105484151043,0.03477068139502857,0.03342953430963609,0.0484136211391702,0.08146602951180441,-0.32221823204407607,-0.036153639977319574,-0.4278999827626655,0.08260657932720256,0.0348257819506784,0.1318966428256882,0.20950803784635696,0.1224465363215432,0.1659128104241752,0.04056992053644107,0.0445671530400396,0.01650532686425051,-0.13287559981480807,-0.025966014766060495,0.02269256807569442,-0.07261751544964434,-0.05960205787782466,-0.03770642601558835,-0.0785208398595114,0.13721422122461113,0.013575205904334834
Black Vulture,0.22615208881758997,0.026088960069220728,0.04355774623003914,-0.0004783199575009323,0.046638397376993865,0.06853561194660067,-0.2266803077761644,-0.014549406733229773,-0.35935317069234735,0.0656008544754562,0.03190507880755759,0.08266014324677827,0.16709045332069564,0.07196550034628448,0.11351837152507481,0.019118609120440493,0.01577481240253768,-0.007827557686360263,-0.10607310120922785,-0.017660375173679462,0.03165554996856883,-0.04963771389558016,-0.042468828057201334,-0.0484411619640825,-0.062362590977312796,0.08367040615147536,0.012984024494999753
Cedar Waxwing,0.2946555428182397,0.02275683857598545,0.04558352236680543,0.004835901081591525,0.04668799901807823,0.07270037927034909,-0.2953285595741036,-0.026453014988869088,-0.43464857923527084,0.07841276875790482,0.05206433325682106,0.08887819889793962,0.19608292705662417,0.09046974270113245,0.11855026293588343,0.006430034240216444,0.010108701782524813,-0.00491280311184385,-0.14920998926424267,-0.02615404692180001,0.02638980047601127,-0.06628789098192454,-0.06312550686397408,-0.059226913744583234,-0.0885288294902947,0.10704624643792855,0.027073632589936423
Red-shouldered Hawk,0.11571416412396142,-0.02624065087700272,-0.008022100693884801,0.006847603677172856,0.02072241383449781,0.04348056779615176,-0.1393581474585226,-0.002362308648621797,-0.20890775470902584,0.029665170807035127,0.005243541179177917,0.06915362717323623,0.1084512267315056,0.09677500457220002,0.09467209766572443,0.03126501265675942,0.0761908207519428,0.03681241712255941,-0.03802293143922191,-0.025785035573127297,0.028435333966458625,-0.016996161097235934,-0.017852881721163196,-0.01791354976191734,-0.020616648022182424,0.06656984866100576,-0.012064701240329635
Turkey Vulture,0.171334389626717,0.0027725609480649983,0.01135390071848108,-0.046527628587850596,-0.02774412507412532,-0.008208616759311805,-0.29183726721708847,-0.01504949817340764,-0.34217018083845696,0.08637613849938068,0.08433721027609815,0.12272489088807033,0.2775055071606892,0.14632146246352218,0.18073029721059225,0.06717576778040546,0.07155873426874873,0.04262709661045323,-0.034764428589471714,0.05835503998660821,0.1199100644321807,0.005180066451313922,-0.012894301982373681,-0.0020911829986189597,0.000820679730892369,0.1162252430057958,0.02634173588213252
Pileated Woodpecker,0.02774036320062541,-0.0033710542787141755,-0.016213480838339813,-0.03305254868663658,-0.01944279621286269,-0.018694396752049647,-0.04516329091712683,-0.0020894527982641014,-0.0779564792798632,-0.005913724943181816,0.0030172253652658095,0.02606231907202006,0.04292470454066974,0.01667210376715453,0.041262880656621724,0.022509339157516003,0.026346886273176075,0.013612205082795266,0.003191509961607041,0.03513197592030049,0.008093310766685641,-0.0019444717342223,-0.0036626660137314185,0.021538411173996796,0.012680965634817977,-0.004577129315252252,-0.02387216072816606
White-throated Sparrow,0.0172541109822246,-0.006208770349635132,-0.00527238506884712,-0.024624055759233997,-0.014872867045908757,-0.010645092447674472,-0.0267454745713899,-0.03283229928135864,-0.10554233882555838,-0.0019233508281628802,0.007243238242292458,-0.006878572454817868,0.04414958187235835,0.014359294417701274,-0.0004907483872554951,0.008558707044740885,0.036069046807457025,-0.006368217164230845,0.013521300434775719,0.02788754403398021,0.015946588724553908,0.008690808325986002,0.017992285916447772,-0.011683639851685076,0.01975706642990576,0.01091055067299711,0.03226910054274927
