Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
0,Acadian Flycatcher,0.9878252841728694,0.13168724279835392,0.16161616161616163,0.1111111111111111,0.008308811,0.00753903680365613
1,Alder Flycatcher,1.0,0.0,0.0,0.0,0.0,0.0001298341585015407
2,Allen's Hummingbird,0.9989036985748081,0.0,0.0,0.0,0.0010963015,0.0009088391095107849
3,American Avocet,0.9888061854480411,0.10185185185185185,0.09401709401709402,0.1111111111111111,0.0057123075,0.005279922445729322
4,American Bittern,0.9985574981247476,0.0,0.0,0.0,0.0014425019,0.0013329640272824845
5,American Coot,0.7014598118977554,0.15013140604467806,0.08295516427663822,0.7892918825561313,0.033408344,0.03277014160578887
6,American Crow,0.7904333275633258,0.6554733447163726,0.5335083384805436,0.8497294638465323,0.2346085,0.23307828134196587
7,American Golden-Plover,0.9989036985748081,0.0,0.0,0.0,0.0010963015,0.0008915278883772461
8,American Goldfinch,0.6799376839189891,0.26810924924132473,0.16437469665102733,0.7267525035765379,0.0806647,0.080955925630994
9,American Kestrel,0.709480122324159,0.16845582163501238,0.09539842873176206,0.7193229901269393,0.040909354,0.039201260256898525
10,American Oystercatcher,0.9817667762968092,0.19387755102040816,0.13333333333333333,0.35514018691588783,0.0061739082,0.006032960565038258
11,American Pipit,0.9971726963245052,0.0,0.0,0.0,0.0028273037,0.0031766090780043625
12,American Redstart,0.74560036928048,0.12710354385270242,0.0688398027021231,0.8273195876288659,0.02238763,0.02374233978464841
13,American Robin,0.6894581962956552,0.27913206536297885,0.1764307483914663,0.6679487179487179,0.09001212,0.08546549873628086
14,American White Pelican,0.7034793145231089,0.11776824034334764,0.06374279873629438,0.7725225225225225,0.025618833,0.0262611224595783
15,American Wigeon,0.9992498990248687,0.0,0.0,0.0,0.000750101,0.0007876605615760136
16,American Woodcock,0.99994229992499,0.0,0.0,0.0,5.7700076e-05,0.00037219125437108335
17,Anhinga,0.7516011770815302,0.29159124568043443,0.1798984771573604,0.7690972222222222,0.06647049,0.0667434130803587
18,Ash-throated Flycatcher,0.9983843978997172,0.0,0.0,0.0,0.001615602,0.0017397777239206453
19,Bachman's Sparrow,0.9967110957244244,0.0,0.0,0.0,0.0032889042,0.003280476404805595
20,Baird's Sandpiper,0.9991921989498587,0.0,0.0,0.0,0.000807801,0.00041546930720493024
21,Bald Eagle,0.6840920893197161,0.2348008385744235,0.14093959731543623,0.702928870292887,0.06895159,0.06715888238756362
22,Baltimore Oriole,0.7350412555536322,0.09819324430479183,0.05222477543346564,0.819672131147541,0.017598523,0.01854897344458678
23,Bank Swallow,0.9966533956494144,0.0,0.0,0.0,0.0033466043,0.0030900529723366685
24,Barn Swallow,0.6892850960706249,0.2922854514390853,0.18477899634430042,0.6989314896291641,0.09180082,0.09187930616625697
25,Barred Owl,0.6960360048468063,0.07708479327259986,0.04056795131845842,0.7719298245614035,0.016444521,0.015484887303950421
26,Bay-breasted Warbler,0.9943453926490105,0.057692307692307696,0.10344827586206896,0.04,0.004327506,0.004691340927189004
27,Bell's Vireo,0.9998845998499798,0.0,0.0,0.0,0.00011540015,0.00022504587473600387
28,Belted Kingfisher,0.7044602157982806,0.3029395753946652,0.19202898550724637,0.717139175257732,0.08955052,0.08709275352283351
29,Black Scoter,0.997634296924586,0.0,0.0,0.0,0.002365703,0.0021033133677249593
30,Black Skimmer,0.7922797299636489,0.1891891891891892,0.10502625656414104,0.9523809523809523,0.025445733,0.02705743863172108
31,Black Swan,0.9997691996999596,0.0,0.0,0.0,0.0002308003,0.00011252293736800194
32,Black Tern,0.7524089781316716,0.05754447616955853,0.02973218338629142,0.891156462585034,0.008481911,0.008820067167537998
