Class,Label,Non-Zero Rate
152,Hairy Woodpecker,0.004570162379254232
153,Harris's Sparrow,0.00012117854793477132
154,Helmeted Guineafowl,9.521171623446318e-05
155,Henslow's Sparrow,0.0007357268981753973
156,Hermit Thrush,0.018696118824221862
157,Hooded Merganser,0.010776235155627877
158,Hooded Warbler,0.033159644081293495
159,Horned Grebe,0.009382681854378008
160,Horned Lark,0.00019907904303569573
161,House Finch,0.2208305923899872
162,House Sparrow,0.1416750337568812
163,Iceland Gull,9.521171623446318e-05
164,Inca Dove,0.01578783367378735
165,Indian Peafowl,0.00023370148530277326
166,Indigo Bunting,0.05544784129072465
167,Kentucky Warbler,0.007322646539486896
168,Killdeer,0.09586088702697088
169,King Rail,0.004708652148322542
170,Lark Sparrow,0.0007703493404424748
171,Laughing Gull,0.2736557836789807
172,LeConte's Sparrow,0.00015580099020184884
173,Least Flycatcher,0.0016964996710867985
174,Least Sandpiper,0.020730187307412665
175,Least Tern,0.03847418896928989
176,Lesser Black-backed Gull,0.0022677699684935776
177,Lesser Goldfinch,0.00041546930720493024
178,Lesser Scaup,0.017804590935844616
179,Lesser Yellowlegs,0.01241214555274729
180,Limpkin,0.0024755046220960425
181,Lincoln's Sparrow,0.00036353564380431396
182,Little Blue Heron,0.06972094311532735
183,Loggerhead Shrike,0.056140290136066195
184,Long-billed Curlew,9.521171623446318e-05
185,Long-billed Dowitcher,0.0028390402659003566
186,Long-tailed Duck,0.0002856351487033895
187,Louisiana Waterthrush,0.004466295052453
188,MacGillivray's Warbler,8.65561056676938e-05
189,Magnificent Frigatebird,0.00851712079770107
190,Magnolia Warbler,0.015017484333344874
191,Mallard,0.050618010594467334
192,Marbled Godwit,0.0059896825122044105
193,Marsh Wren,0.02066959803344528
194,Merlin,0.006768687463213655
195,Mississippi Kite,0.04035245646227885
196,Monk Parakeet,0.006647508915278884
197,Mottled Duck,0.014896305785410104
198,Mourning Dove,0.42787279714711074
199,Muscovy Duck,0.022383408925665618
200,Mute Swan,0.0013069971955821764
