Class,Label,RMSE,MAE,NRMSE (by avg),NRMSE (by max),Normalized RMSE (0-1),Avg Count,Max Count,Non-Zero Rate
0,Acadian Flycatcher,0.29614880485309614,0.05458427220582962,19.740595647012167,0.02278067729639201,0.022780678362290672,0.01500202,13.0,0.00753903680365613
1,Alder Flycatcher,0.013156755932795904,0.00017310022667516023,0.0,0.0,0.013156755932795904,0.0,0.0,0.0001298341585015407
2,Allen's Hummingbird,0.09816268259604922,0.009635912254452705,89.53986148212864,0.09816268259604922,0.09816268259604922,0.0010963015,1.0,0.0009088391095107849
3,American Avocet,6.123792568229362,0.29559749364852905,37.93118189392275,0.012247585136458725,0.012247585642285595,0.16144481,500.0,0.005279922445729322
4,American Bittern,0.14452483188709775,0.017887022346258163,65.91472994453133,0.02890496637741955,0.02890496782732661,0.002192603,5.0,0.0013329640272824845
5,American Coot,20.126849166549814,2.9912872314453125,17.88353811837495,0.01610147933323985,0.016101480627823506,1.12544,1250.0,0.03277014160578887
6,American Crow,5.8376769469928,4.978939533233643,5.638565583777619,0.03766243191608258,0.03766243172592536,1.0353124,155.0,0.23307828134196587
7,American Golden-Plover,0.12957901668667268,0.01644452102482319,102.07881674296641,0.06478950834333634,0.06478950834333634,0.0012694016,2.0,0.0008915278883772461
8,American Goldfinch,4.9901004064086765,3.4389822483062744,7.660180069147144,0.041240499226517985,0.04124050000959043,0.6514338,121.0,0.080955925630994
9,American Kestrel,0.9943873430944989,0.9740349650382996,17.803437118646414,0.14205533472778556,0.1420553303124832,0.055853672,7.0,0.039201260256898525
10,American Oystercatcher,0.4323751146901429,0.14667358994483948,29.044546615653754,0.028825007646009527,0.02882500964740561,0.0148866195,15.0,0.006032960565038258
11,American Pipit,1.5179384017478623,0.06306618452072144,40.84998675186096,0.010119589344985748,0.010119589117015663,0.037158847,150.0,0.0031766090780043625
12,American Redstart,0.8986491410136449,0.684092104434967,18.152084252767185,0.044932457050682245,0.04493245487432958,0.049506664,20.0,0.02374233978464841
13,American Robin,22.205266324434447,4.807166576385498,13.83667639255582,0.011730198797905149,0.01173019967427935,1.6048121,1893.0,0.08546549873628086
14,American White Pelican,9.877216331832583,1.8938318490982056,15.274564465246417,0.017177767533621883,0.017177768581729334,0.6466447,575.0,0.0262611224595783
15,American Wigeon,0.13068750111376023,0.012001615948975086,70.7795331337551,0.021781250185626707,0.02178124996292882,0.0018464024,6.0,0.0007876605615760136
16,American Woodcock,0.06794119377697375,0.004616005811840296,1177.4888181597614,0.06794119377697375,0.06794119377697375,5.7700076e-05,1.0,0.00037219125437108335
17,Anhinga,2.202555156627652,1.926201581954956,12.56500393274327,0.02202555156627652,0.02202554998803607,0.17529283,100.0,0.0667434130803587
18,Ash-throated Flycatcher,0.14149885728041026,0.0196757260710001,79.10699007014895,0.07074942864020513,0.07074942864020513,0.0017887023,2.0,0.0017397777239206453
19,Bachman's Sparrow,0.13156756176124984,0.007154809311032295,20.919243040893566,0.02631351235224997,0.02631351297163307,0.006289308,5.0,0.003280476404805595
20,Baird's Sandpiper,0.07966811187349722,0.005654607433825731,69.03640517015326,0.02655603729116574,0.02655603850887711,0.0011540015,3.0,0.00041546930720493024
21,Bald Eagle,1.8629551248228933,1.7954531908035278,18.230871922798915,0.09314775624114466,0.09314775744094499,0.10218684,20.0,0.06715888238756362
22,Baltimore Oriole,0.9627533480145949,0.6665512919425964,15.521375038862393,0.05663254988321147,0.05663254902255159,0.06202758,17.0,0.01854897344458678
